10:41:57.990 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
10:41:57.993 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=posWWBstBhozEJ9uwsau, groupId=com.browserstack, BROWSERSTACK_APP=bs://sample.app, BROWSERSTACK_FRAMEWORK=java, version=1.0, PROJECT_NAME=BrowserStack Sample, archetypeVersion=1.4, archetypeGroupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=rahulshetty_nS1FoC, BUILD_NAME=browserstack build, BROWSERSTACK_SOURCE=java:appium-eclipse:v1.0.8]
10:41:57.995 [Worker-273: Launching mavenrun-ff4461a5-3e22-4ff5-9729-25e8cc4fee14] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
10:42:11.192 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:42:11.192 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:42:11.192 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:42:11.192 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:42:11.193 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:42:11.193 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
10:50:57.760 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:50:57.760 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:50:57.761 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:50:57.761 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:50:57.761 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:50:57.761 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
10:51:00.965 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:51:00.965 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:51:00.966 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:51:00.966 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:51:00.966 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:51:00.966 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
10:53:11.388 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:53:11.388 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:53:11.389 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:53:11.389 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:53:11.389 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:53:11.389 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
10:53:12.635 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:53:12.635 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:53:12.636 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:53:12.637 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:53:12.637 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:53:12.637 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
10:59:53.605 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
10:59:53.605 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:59:53.606 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
10:59:53.606 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
10:59:53.606 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
10:59:53.606 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
11:02:45.412 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
11:02:45.413 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
11:02:45.413 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AppiumFrameworkCloud
11:02:45.413 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
11:02:45.413 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
11:02:45.413 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/AppiumFrameworkCloud
11:10:06.817 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
11:10:06.818 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
11:10:06.818 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/AFD3
11:10:06.818 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
11:10:06.818 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
